Filing Name,Filing Date,Court District,Exchange,Ticker,Sector,Industry,MarketCap,sharesOutstanding,bookValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,averageDailyVolume3Month,fiftyDayAverage,twoHundredDayAverage,Open,Close,High,Low,Volume
Bioverativ Inc.,2/15/18,D. Massachusetts,NASDAQ,BIVV, Biotechnology & Drugs, Healthcare,11335382016.0,108224000.0,8.295,104.75,48.14,2179806.0,90.95735,64.163475,103.56,103.54,103.92,103.32,1347197.0
Key Technology Inc,2/15/18,E.D. Washington,NASDAQ,KTEC, Constr. & Agric. Machinery, Capital Goods,172222000.0,6464790.0,10.367,28.26,11.08,61554.0,23.529705,18.592464,26.9,26.73,26.9,26.66,9363.0
"Obalon Therapeutics, Inc.",2/14/18,S.D. California,NASDAQ,OBLN, Medical Equipment & Supplies, Healthcare,72732304.0,17441800.0,2.505,13.18,3.4,249914.0,5.057353,7.787173700000001,4.15,4.15,4.22,4.08,45185.0
"Ohr Pharmaceutical, Inc.",2/14/18,S.D. New York,NASDAQ,OHRP, Biotechnology & Drugs, Healthcare,14229533.0,56466400.0,0.349,2.18,0.24,3245575.0,0.3214706,0.7604348000000001,0.32,0.31,0.32,0.31,1440291.0
Wells Fargo & Company,2/14/18,S.D. New York,New York SE,WTC, Money Center Banks, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Cascadian Therapeutics, Inc.",2/13/18,D. Delaware,NASDAQ,CASC, Biotechnology & Drugs, Healthcare,528355008.0,52835500.0,2.465,10.21,3.18,934162.0,7.193529600000001,4.752464,9.98,10.0,10.0,9.97,645422.0
Juno Therapeutics Inc,2/13/18,W.D. Washington,NASDAQ,JUNO, Biotechnology & Drugs, Healthcare,9985444864.0,115332000.0,10.117,86.76,19.62,4508570.0,76.67853000000001,53.02376999999999,85.76,86.08,86.2,85.75,2153155.0
Quantum Corporation,2/13/18,N.D. California,New York SE,QTM, Computer Storage Devices, Technology,133494512.0,34673900.0,-3.5869999999999997,9.2,0.8,405024.0,5.3985294999999995,5.4931884,3.84,4.01,4.05,3.74,490929.0
NQ Mobile,2/10/18,E.D. Texas,New York SE,NQ, Software & Programming, Technology,249031856.0,107806000.0,2.9539999999999997,4.68,1.58,1271154.0,3.0911765,3.5844202000000003,nan,nan,nan,nan,nan
Aflac Incorporated,2/9/18,M.D. Georgia,New York SE,AFL, Insurance (Accident & Health), Financial,34973052928.0,390455008.0,62.402,91.73,70.64,2231148.0,88.01088,85.103264,84.29,84.77,85.24,82.82,2616761.0
Bristol-Myers Squibb Company,2/9/18,N.D. California,New York SE,BMY, Major Drugs, Healthcare,110934000000.0,1632579968.0,7.19,70.05,51.56,7305477.0,63.59705699999999,62.152824,63.3,62.7,63.32,60.57,11158002.0
Bill Barrett Corporation,2/8/18,D. Colorado,New York SE,BBG, Oil & Gas Operations, Energy,581597184.0,110360000.0,6.877000000000001,6.93,2.66,2814725.0,5.2114706,4.6597824,5.03,4.89,5.13,4.86,4232425.0
Johnson & Johnson,2/8/18,D. New Jersey,New York SE,JNJ, Major Drugs, Healthcare,354674000000.0,2686520064.0,27.553,148.32,120.95,7523167.0,138.255,137.15616,130.91,126.36,131.25,126.11,11680221.0
"Kindred Healthcare, Inc.",2/8/18,D. Delaware,New York SE,KND, Healthcare Facilities, Healthcare,846066048.0,91466600.0,3.495,11.9,5.5,1970719.0,9.210294000000001,7.8731884999999995,9.05,9.0,9.08,9.0,2719233.0
